Month,Galewood-Mont Clare,Bezazian,"Whitney M. Young, Jr.",West Loop,Oriole Park,South Chicago,Douglass,Rogers Park,Hegewisch,Garfield Ridge,Toman,Edgewater,Greater Grand Crossing,West Belmont,Clearing,Chicago Bee,Humboldt Park,Harold Washtington Library Center,West Lawn,Coleman,Walker,Chicago Lawn,"Daley, Richard M.",Independence,Pullman,Scottsdale,Budlong Woods,Lincoln Belmont,Brainerd,Austin,Thurgood Marshall,Kelly,Chinatown,Mount Greenwood,West Town,North Austin,Lincoln Park,Little Village,"Daley, Richard J.",Altgeld,Roden,Uptown,Water Works,Jeffery Manor,Edgebrook,Jefferson Park,McKinley Park,Woodson Regional Library,Albany Park,Lozano,Gage Park,West Pullman,Sherman Park,West Englewood,North Pulaski,West Chicago Avenue,Manning,Beverly,Northtown,Canaryville,Blackstone,Little Italy,Hall,Logan Square,South Shore,King,Mayfair,Back of the Yards,Avalon,Austin-Irving,Merlo,Archer Heights,Sulzer Regional Library,Legler Regional,Portage-Cragin,Wrightwood-Ashburn,Vodak-East Side,Bucktown-Wicker Park,Near North,Dunning,Brighton Park
JANUARY,0,0,1830,2514,3528,768,435,4179,1165,2594,1371,7563,837,1954,1505,512,2527,39287,1030,3059,521,2444,6556,2412,1558,1856,5058,2888,617,2991,2094,497,2963,1400,3402,1072,4915,1270,2480,339,2759,4948,0,2002,3693,2656,368,3655,3419,3634,0,1216,1420,2038,1669,608,0,1709,5957,0,3491,2801,0,7285,1066,1209,1302,1440,2985,3101,4605,2949,13873,477,2301,1417,2007,5015,4771,4240,1250
FEBRUARY,0,5133,2462,3085,4252,3114,1100,7092,1194,2929,1163,3509,977,2396,918,900,2725,50081,1345,1540,670,2794,4072,2684,1705,2867,5714,843,536,2312,2577,1461,6955,1478,4726,1337,6552,1348,0,822,3073,5325,2774,863,4302,3140,3624,4516,6208,2311,911,944,1409,2281,2052,808,2701,1943,6137,1427,5724,5665,2213,8572,1178,1080,1552,1689,4007,3642,7379,2360,15111,2056,3072,1164,2718,5954,5815,5603,1727
MARCH,0,6393,3014,4329,5458,3980,1456,8908,1552,4083,1669,8040,1447,3035,1290,1002,3753,64622,2505,4054,1255,3927,3827,3171,2575,3325,7070,0,995,3410,3050,2781,11013,1936,5947,1895,8399,1896,0,3378,4268,6378,4298,1226,5447,4490,4731,3918,8004,3021,1586,1175,1846,2754,2283,1207,3653,1403,8619,1854,7464,8196,2716,10957,1575,1639,1980,2689,4777,4957,10016,3250,19899,3315,3987,1631,3749,7115,4707,6706,2959
APRIL,0,7186,3406,4306,3774,3881,1586,8827,1612,3782,2198,9664,1657,3054,1290,1086,3867,64754,2815,4297,613,3810,5137,3146,2990,3356,6613,1247,1088,3486,3280,2587,11999,1857,5530,1979,9454,1877,0,3231,4712,4801,4501,1284,5241,4787,3942,6239,6925,3780,1875,1734,2017,2423,2413,1140,3924,99,8090,1894,7252,7564,2923,10380,1544,1607,1826,2942,5025,4893,9522,3169,18966,2875,3828,1874,4378,7525,0,5857,3207
MAY,0,7870,3464,4206,3080,3822,2803,8728,1411,3370,2533,8411,1838,2954,730,1211,4047,60950,2744,4225,964,3833,5130,3002,3001,3420,6087,5464,1354,1636,3326,2666,13147,1986,4300,1598,9152,2016,957,3217,3858,0,4646,1448,5187,3951,4584,5610,7068,3664,1633,1803,1786,2872,2211,1119,4531,0,8461,33,7130,7828,2996,9038,1801,1652,1446,2729,4666,4326,9188,2896,17119,3574,3466,1817,3420,6111,0,6394,2356
JUNE,0,5395,4946,4264,4827,3374,0,8624,1841,5176,2390,8531,1769,5544,575,819,7297,63316,3798,4162,948,4635,4408,5240,3175,3392,6615,5435,1147,3883,3379,2834,15962,2399,6246,1587,12512,2269,2086,3466,8939,1999,4801,1680,6707,4418,5238,5815,6394,2693,1570,2282,1508,3403,2444,1591,3858,1489,6614,0,7061,8215,2850,9187,1576,1959,1715,2933,4188,5147,15221,4950,14966,3276,5573,3609,3343,11320,0,5177,3090
JULY,0,4471,3809,4639,5100,4843,4316,8696,1858,6041,2546,9696,1437,3485,870,1074,4741,71029,4384,4816,1166,4397,4118,3752,3237,3299,8904,6435,1182,5135,3684,2730,16974,2774,6644,2002,10660,2449,2105,4771,4562,5785,5112,1790,6437,4460,5037,6183,7005,3995,1470,1807,1434,2924,2677,1181,3653,2773,4807,736,6992,7872,3200,10600,2059,1793,1594,2717,5093,5029,8547,3198,18748,3601,4058,1048,4703,8472,0,7638,2871
AUGUST,0,3789,4064,4826,5297,4842,3921,8916,796,4817,2364,9588,1760,3898,1605,993,4958,65825,4067,5462,1146,4968,3433,3945,2752,3403,7810,7667,1215,4145,3675,3343,15109,2313,6767,1939,10414,2171,2049,4217,4582,6428,5035,1661,6411,4287,5458,5996,6848,4508,1678,2090,1740,4282,2876,1474,3680,2871,6426,1184,7065,8699,3488,11057,2264,1656,1623,2943,4747,5149,8701,3390,19294,3442,4024,1401,4355,8434,7086,6869,3264
SEPTEMBER,0,3907,4172,4645,5014,4285,3733,9226,162,4982,1667,8944,2375,3253,1440,1162,3705,61361,3307,2750,1016,4236,3749,2903,3230,3081,6659,7074,1098,3804,3628,2686,13290,1986,5888,1627,8960,2043,1873,4146,3794,6106,4052,1171,5317,3526,4786,5305,7061,4097,1131,2023,1263,2708,2443,1622,2974,2592,5969,1038,7194,8736,3003,9856,1864,1532,1446,2816,3630,4840,7799,3329,18776,3310,3335,2117,3761,8088,10148,6169,3017
OCTOBER,0,3799,4579,5246,4880,3607,2738,9380,1156,3982,3009,9539,2391,5245,1156,985,5676,67126,3516,3187,1157,4369,3686,3539,3605,2995,8755,7100,973,3918,3621,2867,14005,2448,6537,1770,11785,2080,2150,4613,8002,6519,4194,1835,5992,3663,5641,5491,6955,4777,2032,2377,1227,3534,2487,1513,3861,2685,8492,957,6380,8458,3157,10579,1936,1492,1441,3508,3639,5656,10197,4599,21154,3346,4621,5210,4074,7620,12716,6495,3270
NOVEMBER,0,3932,4319,5030,4712,3146,1626,9355,1228,4529,2793,8103,2057,6103,2425,841,3262,50053,3431,2506,996,4241,2541,3887,3527,3261,7259,6929,1301,3492,3095,2381,11877,1787,6620,1745,17248,1928,2112,3542,10121,7091,3860,1724,6298,3926,4726,4986,6719,5728,1620,6051,994,3277,2370,2024,3523,2490,9581,887,5979,7284,2555,10006,1812,1404,1508,2576,3029,5303,12420,5054,20568,3196,5254,6950,3700,7122,9813,5513,3264
DECEMBER,0,3332,3511,4047,4723,3328,2256,7431,934,3924,1942,6262,2125,2923,1770,977,1665,28348,3531,2270,1079,3423,3656,2960,2684,2832,3437,6161,836,2982,3206,2093,11473,1715,5791,1435,8067,617,2154,3204,3840,5913,4321,1103,5184,2864,3761,3678,6469,3121,1527,235,1009,2499,2419,1087,2952,2179,5326,950,4894,5633,2053,9037,1508,1041,1388,2276,1950,3944,6551,2703,16373,2539,3156,1410,2844,3317,5974,5443,2681